ZoneId,MinLat,MinLng,MaxLat,MaxLng,Name
1,34.678840,32.344973,34.847179,32.488678,Zone 1
2,34.678840,32.488678,34.847179,32.632383,Zone 2
3,34.678840,32.632383,34.847179,32.776088,Zone 3
4,34.678840,32.776088,34.847179,32.919793,Zone 4
5,34.678840,32.919793,34.847179,33.063498,Zone 5
6,34.678840,33.063498,34.847179,33.207203,Zone 6
7,34.678840,33.207203,34.847179,33.350908,Zone 7
8,34.678840,33.350908,34.847179,33.494613,Zone 8
9,34.678840,33.494613,34.847179,33.638318,Zone 9
10,34.847179,32.344973,35.015518,32.488678,Zone 10
11,34.847179,32.488678,35.015518,32.632383,Zone 11
12,34.847179,32.632383,35.015518,32.776088,Zone 12
13,34.847179,32.776088,35.015518,32.919793,Zone 13
14,34.847179,32.919793,35.015518,33.063498,Zone 14
15,34.847179,33.063498,35.015518,33.207203,Zone 15
16,34.847179,33.207203,35.015518,33.350908,Zone 16
17,34.847179,33.350908,35.015518,33.494613,Zone 17
18,34.847179,33.494613,35.015518,33.638318,Zone 18
19,35.015518,32.344973,35.183857,32.488678,Zone 19
20,35.015518,32.488678,35.183857,32.632383,Zone 20
21,35.015518,32.632383,35.183857,32.776088,Zone 21
22,35.015518,32.776088,35.183857,32.919793,Zone 22
23,35.015518,32.919793,35.183857,33.063498,Zone 23
24,35.015518,33.063498,35.183857,33.207203,Zone 24
25,35.015518,33.207203,35.183857,33.350908,Zone 25
26,35.015518,33.350908,35.183857,33.494613,Zone 26
27,35.015518,33.494613,35.183857,33.638318,Zone 27
