BridgeId,PointId,FromZoneId,ToZoneId,Name
1,9,1,10,Bridge 1
2,10,1,2,Bridge 2
3,19,2,11,Bridge 3
4,20,2,3,Bridge 4
5,27,3,12,Bridge 5
6,28,3,4,Bridge 6
7,37,4,13,Bridge 7
8,38,4,5,Bridge 8
9,45,5,14,Bridge 9
10,46,5,6,Bridge 10
11,53,6,15,Bridge 11
12,54,6,7,Bridge 12
13,63,7,16,Bridge 13
14,64,7,8,Bridge 14
15,71,8,17,Bridge 15
16,72,8,9,Bridge 16
17,80,10,19,Bridge 17
18,81,10,11,Bridge 18
19,89,11,20,Bridge 19
20,90,11,12,Bridge 20
21,99,12,21,Bridge 21
22,100,12,13,Bridge 22
23,107,13,22,Bridge 23
24,108,13,14,Bridge 24
25,117,14,23,Bridge 25
26,118,14,15,Bridge 26
27,125,15,24,Bridge 27
28,126,15,16,Bridge 28
29,133,16,25,Bridge 29
30,134,16,17,Bridge 30
31,142,17,26,Bridge 31
32,143,17,18,Bridge 32
33,152,18,27,Bridge 33
34,163,20,21,Bridge 34
35,172,21,22,Bridge 35
36,181,22,23,Bridge 36
37,189,23,24,Bridge 37
38,198,24,25,Bridge 38
39,207,25,26,Bridge 39
40,215,26,27,Bridge 40
