RideProfileId,ServiceTypeId,RideTypeId,VehicleTypeId,ProfileName
74bc6f23-9344-4835-9295-f327919eaf61,1,1,1,Simple passenger ride with sedan
6ddf8127-f90c-4cfc-ab8e-31fcab60c8d0,1,1,2,Simple passenger ride with hatchback
c23122b0-b8c9-451d-9ac3-e2428f69646f,1,1,3,Simple passenger ride with suv
7fb9ffb4-8a5a-47ee-8328-216a954ba388,1,1,4,Simple passenger ride with coupe
745490a3-ac64-490b-bf44-251b3392aa5d,1,1,5,Simple passenger ride with convertible
14df994a-7866-4153-aac8-38ac5e7c29b5,1,1,10,Simple passenger ride with crossover
ab9a080a-91e5-4dda-87dc-0a366313daa2,1,1,13,Simple passenger ride with electric car
0c972cae-5dee-4f9f-8491-1ccd69d39ff7,1,1,14,Simple passenger ride with hybrid car
f5c52c7b-4f24-4fc5-a54e-ea3ad494381d,1,1,9,Simple passenger ride with wagon
72fe88de-1048-4411-b39b-6aecf7199b48,2,1,11,Luxury passenger ride with luxury car
630c3b1a-70d3-46b1-9993-4ac4e267e6a0,2,1,12,Luxury passenger ride with sports car
8b950577-0550-489a-881f-9db462eb8b55,2,1,3,Luxury passenger ride with suv
9501f4f7-f02f-49c7-a1d7-ce018606b10f,2,1,13,Luxury passenger ride with electric car
aa41e193-a8b9-45a5-8eaa-8e204c3c7480,2,1,7,Luxury passenger ride with minivan
134f155a-09e3-435f-a115-62b874dde53e,5,1,1,Simple bridged passenger ride with sedan
79200691-d6ae-40f1-b976-8dcabc6cf3a7,5,1,2,Simple bridged passenger ride with hatchback
d3edbffe-dae7-4089-8b6f-0281b9d1b966,5,1,3,Simple bridged passenger ride with suv
8ebf2163-5192-4cd6-8cdf-b422f4c850b0,5,1,4,Simple bridged passenger ride with coupe
28c200f1-45e1-4edb-9b8c-db9478878d17,5,1,5,Simple bridged passenger ride with convertible
8b81ea17-c8c4-4114-afce-fa3cf6e81133,5,1,10,Simple bridged passenger ride with crossover
b2daf0ab-9a46-4c14-8773-cbc4d4e8272d,5,1,13,Simple bridged passenger ride with electric car
