OfferId,LegId,RecipientUserId,Status,SentAt,RespondedAt
1,1,945fe90d-9815-493b-8353-a58ab22f5487,Accepted,2025-11-15 21:33:48.312479+00:00,2025-11-15 21:34:41.312479+00:00
2,1,58768226-eec2-4ce1-bc02-2660fd8d1532,Declined,2025-11-15 21:33:49.312479+00:00,2025-11-15 21:41:19.312479+00:00
3,1,57ca15be-43e1-4971-a9ef-48d197472496,Sent,2025-11-15 21:33:48.312479+00:00,
4,1,d737b40a-61e8-4aff-a042-c035f379ebcf,Expired,2025-11-15 21:34:02.312479+00:00,2025-11-15 21:36:16.312479+00:00
5,1,507789dd-4c77-4641-b825-27ec6fe48b36,Sent,2025-11-15 21:33:39.312479+00:00,
6,2,bf750aea-4aa0-45ab-b96a-84285d195cae,Accepted,2025-11-16 12:11:10.312479+00:00,2025-11-16 12:10:49.312479+00:00
7,4,d3a74d11-c2b7-4e09-8bfc-021b61f5152e,Accepted,2025-11-16 19:20:27.312479+00:00,2025-11-16 19:20:38.312479+00:00
8,4,77ccaea3-5995-4a15-8e84-da9e8f55c70d,Expired,2025-11-16 19:20:49.312479+00:00,2025-11-16 19:24:04.312479+00:00
9,5,33b2d987-96cd-4599-884c-2eb5db252775,Accepted,2025-11-17 16:07:08.312479+00:00,2025-11-17 16:11:09.312479+00:00
10,8,5112e7db-2bf7-45b7-acb6-9078e93ef0e6,Accepted,2025-11-17 15:51:32.312479+00:00,2025-11-17 15:55:27.312479+00:00
11,9,7de87989-b4c8-4b72-83cd-5bbf2966fb5b,Sent,2025-11-16 00:09:11.312479+00:00,
12,9,d3a74d11-c2b7-4e09-8bfc-021b61f5152e,Declined,2025-11-16 00:08:43.312479+00:00,2025-11-16 00:16:37.312479+00:00
13,9,8b762c75-24c5-421d-b1d9-9c4852627228,Sent,2025-11-16 00:08:39.312479+00:00,
14,9,c409d230-05c0-466d-9098-8b84dab10ad0,Expired,2025-11-16 00:08:49.312479+00:00,2025-11-16 00:13:32.312479+00:00
15,10,991a6585-39a1-482e-83f4-91075a44700b,Sent,2025-11-16 09:57:06.312479+00:00,
16,10,0834b644-594d-4fda-96c2-b0ae4969f2bd,Expired,2025-11-16 09:56:49.312479+00:00,2025-11-16 10:04:03.312479+00:00
17,10,3d8964e8-6749-45e2-a8c6-98bc3c22fdb4,Declined,2025-11-16 09:57:07.312479+00:00,2025-11-16 09:58:11.312479+00:00
18,10,9caaedb7-5d4c-401a-82ca-63eab512bcf0,Sent,2025-11-16 09:56:56.312479+00:00,
19,11,dea07cd6-eaaa-4dd8-9f69-fcc71e31193e,Accepted,2025-11-17 03:51:30.312479+00:00,2025-11-17 03:55:24.312479+00:00
20,11,a0e0a9b0-9108-4098-81ab-d9339a119938,Sent,2025-11-17 03:52:01.312479+00:00,
21,11,e5231909-7321-40df-94b4-a6169b344712,Expired,2025-11-17 03:52:19.312479+00:00,2025-11-17 03:53:46.312479+00:00
22,11,fed27730-8bff-4120-a7af-858faaa8398b,Expired,2025-11-17 03:52:15.312479+00:00,2025-11-17 04:00:02.312479+00:00
23,11,3660086d-65cc-4b73-aef9-03c2c0dcc5b8,Sent,2025-11-17 03:51:29.312479+00:00,
24,12,8132f13d-9bea-469c-8cb4-8d5ae9d8e8c2,Declined,2025-11-16 08:54:51.312479+00:00,2025-11-16 08:57:58.312479+00:00
25,12,26ffb678-5848-49fa-9c81-3b9cf7800cd2,Expired,2025-11-16 08:54:26.312479+00:00,2025-11-16 08:58:18.312479+00:00
26,12,329be53c-8633-42ea-8f65-770e424b097f,Expired,2025-11-16 08:55:00.312479+00:00,2025-11-16 09:00:28.312479+00:00
27,13,dea046f5-1eb2-42a0-ae98-27c3923948e6,Accepted,2025-11-17 14:34:16.312479+00:00,2025-11-17 14:36:51.312479+00:00
28,14,fa9a990a-3557-4991-84cc-5e611c63745c,Accepted,2025-11-17 06:35:30.312479+00:00,2025-11-17 06:37:18.312479+00:00
29,14,b8dbdee1-3f8a-4e7c-8fb6-650226c7a8fb,Declined,2025-11-17 06:36:15.312479+00:00,2025-11-17 06:36:36.312479+00:00
30,14,feb3635d-f9b4-4541-975a-124fa5648347,Declined,2025-11-17 06:35:48.312479+00:00,2025-11-17 06:43:25.312479+00:00
31,15,b8f2ae69-b555-4f87-acf1-0c974f4900e0,Accepted,2025-11-16 23:01:11.312479+00:00,2025-11-16 23:02:15.312479+00:00
32,15,b423519f-d2e2-4462-bc4f-de90ab1a6aaf,Sent,2025-11-16 23:00:59.312479+00:00,
33,15,8b29f4a5-237f-4498-a79a-2f1d9c2a8695,Sent,2025-11-16 23:01:09.312479+00:00,
34,15,bf466fd7-3632-48ef-80ea-019000b5159a,Expired,2025-11-16 23:01:07.312479+00:00,2025-11-16 23:06:52.312479+00:00
35,17,c2cd95eb-d678-4a17-8bb9-4bbcb005ad8c,Accepted,2025-11-15 23:14:25.312479+00:00,2025-11-15 23:15:04.312479+00:00
36,18,93ac7003-8dc7-44e7-bf65-d6ec4e7899a0,Accepted,2025-11-17 11:00:20.312479+00:00,2025-11-17 11:01:19.312479+00:00
37,19,726fe0d3-ad9a-49f6-a34a-e1a337cbc05e,Accepted,2025-11-16 20:44:19.312479+00:00,2025-11-16 20:47:46.312479+00:00
38,19,a3c70fa0-695f-4cea-8383-efa3dc658214,Expired,2025-11-16 20:44:19.312479+00:00,2025-11-16 20:46:29.312479+00:00
39,19,5b929cf1-de75-4047-8195-cdf476e7653b,Declined,2025-11-16 20:44:09.312479+00:00,2025-11-16 20:46:46.312479+00:00
40,20,2ff17143-c97c-4107-be67-65fc6c5a99dc,Accepted,2025-11-16 01:47:48.312479+00:00,2025-11-16 01:47:40.312479+00:00
41,20,c55a2b83-dc7f-4836-814c-36f54f0a317a,Sent,2025-11-16 01:47:58.312479+00:00,
42,20,ddd5ba50-291e-4041-a0ac-ec6095935331,Declined,2025-11-16 01:47:48.312479+00:00,2025-11-16 01:55:39.312479+00:00
