BridgeId,PointId,FromZoneId,ToZoneId,Name
1,5,1,2,Bridge 1
2,6,1,19,Bridge 2
3,11,2,3,Bridge 3
4,12,2,20,Bridge 4
5,18,3,4,Bridge 5
6,19,3,21,Bridge 6
7,24,4,5,Bridge 7
8,25,4,22,Bridge 8
9,30,5,6,Bridge 9
10,31,5,23,Bridge 10
11,37,6,7,Bridge 11
12,38,6,24,Bridge 12
13,43,7,8,Bridge 13
14,44,7,25,Bridge 14
15,49,8,9,Bridge 15
16,50,8,26,Bridge 16
17,56,9,10,Bridge 17
18,57,9,27,Bridge 18
19,63,10,11,Bridge 19
20,64,10,28,Bridge 20
21,70,11,12,Bridge 21
22,71,11,29,Bridge 22
23,76,12,13,Bridge 23
24,77,12,30,Bridge 24
25,82,13,14,Bridge 25
26,83,13,31,Bridge 26
27,89,14,15,Bridge 27
28,90,14,32,Bridge 28
29,96,15,16,Bridge 29
30,97,15,33,Bridge 30
31,103,16,17,Bridge 31
32,104,16,34,Bridge 32
33,109,17,18,Bridge 33
34,110,17,35,Bridge 34
35,117,18,36,Bridge 35
36,123,19,20,Bridge 36
37,124,19,37,Bridge 37
38,129,20,21,Bridge 38
39,130,20,38,Bridge 39
40,135,21,22,Bridge 40
41,136,21,39,Bridge 41
42,142,22,23,Bridge 42
43,143,22,40,Bridge 43
44,149,23,24,Bridge 44
45,150,23,41,Bridge 45
46,156,24,25,Bridge 46
47,157,24,42,Bridge 47
48,163,25,26,Bridge 48
49,164,25,43,Bridge 49
50,170,26,27,Bridge 50
51,171,26,44,Bridge 51
52,177,27,28,Bridge 52
53,178,27,45,Bridge 53
54,183,28,29,Bridge 54
55,184,28,46,Bridge 55
56,189,29,30,Bridge 56
57,190,29,47,Bridge 57
58,195,30,31,Bridge 58
59,196,30,48,Bridge 59
60,201,31,32,Bridge 60
61,202,31,49,Bridge 61
62,208,32,33,Bridge 62
63,209,32,50,Bridge 63
64,215,33,34,Bridge 64
65,216,33,51,Bridge 65
66,222,34,35,Bridge 66
67,223,34,52,Bridge 67
68,228,35,36,Bridge 68
69,229,35,53,Bridge 69
70,236,36,54,Bridge 70
71,242,37,38,Bridge 71
72,243,37,55,Bridge 72
73,248,38,39,Bridge 73
74,249,38,56,Bridge 74
75,255,39,40,Bridge 75
76,256,39,57,Bridge 76
77,261,40,41,Bridge 77
78,262,40,58,Bridge 78
79,267,41,42,Bridge 79
80,268,41,59,Bridge 80
81,274,42,43,Bridge 81
82,275,42,60,Bridge 82
83,281,43,44,Bridge 83
84,282,43,61,Bridge 84
85,287,44,45,Bridge 85
86,288,44,62,Bridge 86
87,294,45,46,Bridge 87
88,295,45,63,Bridge 88
89,301,46,47,Bridge 89
90,302,46,64,Bridge 90
91,308,47,48,Bridge 91
92,309,47,65,Bridge 92
93,315,48,49,Bridge 93
94,316,48,66,Bridge 94
95,322,49,50,Bridge 95
96,323,49,67,Bridge 96
97,328,50,51,Bridge 97
98,329,50,68,Bridge 98
99,335,51,52,Bridge 99
100,336,51,69,Bridge 100
101,342,52,53,Bridge 101
102,343,52,70,Bridge 102
103,348,53,54,Bridge 103
104,349,53,71,Bridge 104
105,355,54,72,Bridge 105
106,360,55,56,Bridge 106
107,361,55,73,Bridge 107
108,366,56,57,Bridge 108
109,367,56,74,Bridge 109
110,373,57,58,Bridge 110
111,374,57,75,Bridge 111
112,379,58,59,Bridge 112
113,380,58,76,Bridge 113
114,386,59,60,Bridge 114
115,387,59,77,Bridge 115
116,392,60,61,Bridge 116
117,393,60,78,Bridge 117
118,399,61,62,Bridge 118
119,400,61,79,Bridge 119
120,405,62,63,Bridge 120
121,406,62,80,Bridge 121
122,411,63,64,Bridge 122
123,412,63,81,Bridge 123
124,417,64,65,Bridge 124
125,418,64,82,Bridge 125
126,424,65,66,Bridge 126
127,425,65,83,Bridge 127
128,430,66,67,Bridge 128
129,431,66,84,Bridge 129
130,436,67,68,Bridge 130
131,437,67,85,Bridge 131
132,442,68,69,Bridge 132
133,443,68,86,Bridge 133
134,449,69,70,Bridge 134
135,450,69,87,Bridge 135
136,455,70,71,Bridge 136
137,456,70,88,Bridge 137
138,461,71,72,Bridge 138
139,462,71,89,Bridge 139
140,468,72,90,Bridge 140
141,474,73,74,Bridge 141
142,475,73,91,Bridge 142
143,480,74,75,Bridge 143
144,481,74,92,Bridge 144
145,487,75,76,Bridge 145
146,488,75,93,Bridge 146
147,494,76,77,Bridge 147
148,495,76,94,Bridge 148
149,501,77,78,Bridge 149
150,502,77,95,Bridge 150
151,507,78,79,Bridge 151
152,508,78,96,Bridge 152
153,514,79,80,Bridge 153
154,515,79,97,Bridge 154
155,520,80,81,Bridge 155
156,521,80,98,Bridge 156
157,526,81,82,Bridge 157
158,527,81,99,Bridge 158
159,532,82,83,Bridge 159
160,533,82,100,Bridge 160
161,539,83,84,Bridge 161
162,540,83,101,Bridge 162
163,545,84,85,Bridge 163
164,546,84,102,Bridge 164
165,552,85,86,Bridge 165
166,553,85,103,Bridge 166
167,559,86,87,Bridge 167
168,560,86,104,Bridge 168
169,566,87,88,Bridge 169
170,567,87,105,Bridge 170
171,572,88,89,Bridge 171
172,573,88,106,Bridge 172
173,579,89,90,Bridge 173
174,580,89,107,Bridge 174
175,587,90,108,Bridge 175
176,592,91,92,Bridge 176
177,599,92,93,Bridge 177
178,606,93,94,Bridge 178
179,612,94,95,Bridge 179
180,619,95,96,Bridge 180
181,626,96,97,Bridge 181
182,633,97,98,Bridge 182
183,640,98,99,Bridge 183
184,646,99,100,Bridge 184
185,652,100,101,Bridge 185
186,658,101,102,Bridge 186
187,665,102,103,Bridge 187
188,671,103,104,Bridge 188
189,678,104,105,Bridge 189
190,685,105,106,Bridge 190
191,691,106,107,Bridge 191
192,698,107,108,Bridge 192
