BridgeId,FromZoneId,ToZoneId,Latitude,Longitude
1,20,21,34.710000,32.500000
2,21,22,34.710000,32.600000
3,22,23,34.710000,32.700000
4,22,40,34.660000,32.650000
5,23,24,34.710000,32.800000
6,23,41,34.660000,32.750000
7,24,25,34.710000,32.900000
8,25,26,34.710000,33.000000
9,26,27,34.710000,33.100000
10,27,28,34.710000,33.200000
11,37,38,34.810000,32.400000
12,38,39,34.810000,32.500000
13,38,56,34.760000,32.450000
14,39,40,34.810000,32.600000
15,39,57,34.760000,32.550000
16,40,41,34.810000,32.700000
17,40,58,34.760000,32.650000
18,41,42,34.810000,32.800000
19,41,59,34.760000,32.750000
20,42,43,34.810000,32.900000
21,42,60,34.760000,32.850000
22,43,44,34.810000,33.000000
23,43,61,34.760000,32.950000
24,44,45,34.810000,33.100000
25,44,62,34.760000,33.050000
26,45,46,34.810000,33.200000
27,45,63,34.760000,33.150000
28,46,47,34.810000,33.300000
29,46,64,34.760000,33.250000
30,47,48,34.810000,33.400000
31,47,65,34.760000,33.350000
32,48,49,34.810000,33.500000
33,55,56,34.910000,32.400000
34,56,57,34.910000,32.500000
35,56,74,34.860000,32.450000
36,57,58,34.910000,32.600000
37,57,75,34.860000,32.550000
38,58,59,34.910000,32.700000
39,58,76,34.860000,32.650000
40,59,60,34.910000,32.800000
41,59,77,34.860000,32.750000
42,60,61,34.910000,32.900000
43,60,78,34.860000,32.850000
44,61,62,34.910000,33.000000
45,61,79,34.860000,32.950000
46,62,63,34.910000,33.100000
47,62,80,34.860000,33.050000
48,63,64,34.910000,33.200000
49,63,81,34.860000,33.150000
50,64,65,34.910000,33.300000
51,64,82,34.860000,33.250000
52,65,66,34.910000,33.400000
53,65,83,34.860000,33.350000
54,66,67,34.910000,33.500000
55,66,84,34.860000,33.450000
56,67,68,34.910000,33.600000
57,67,85,34.860000,33.550000
58,73,74,35.010000,32.400000
59,73,91,34.960000,32.350000
60,74,75,35.010000,32.500000
61,74,92,34.960000,32.450000
62,75,76,35.010000,32.600000
63,75,93,34.960000,32.550000
64,76,77,35.010000,32.700000
65,76,94,34.960000,32.650000
66,77,78,35.010000,32.800000
67,77,95,34.960000,32.750000
68,78,79,35.010000,32.900000
69,78,96,34.960000,32.850000
70,79,80,35.010000,33.000000
71,79,97,34.960000,32.950000
72,80,81,35.010000,33.100000
73,80,98,34.960000,33.050000
74,81,82,35.010000,33.200000
75,81,99,34.960000,33.150000
76,82,83,35.010000,33.300000
77,82,100,34.960000,33.250000
78,83,84,35.010000,33.400000
79,83,101,34.960000,33.350000
80,84,85,35.010000,33.500000
81,84,102,34.960000,33.450000
82,85,86,35.010000,33.600000
83,85,103,34.960000,33.550000
84,86,104,34.960000,33.650000
85,88,89,35.010000,33.900000
86,89,90,35.010000,34.000000
87,93,94,35.110000,32.600000
88,94,95,35.110000,32.700000
89,97,98,35.110000,33.000000
90,98,99,35.110000,33.100000
91,99,100,35.110000,33.200000
92,100,101,35.110000,33.300000
93,101,102,35.110000,33.400000
