PointId,ZoneId,Latitude,Longitude,PointType,Name,IsPickupAllowed,IsDropoffAllowed
1,4,34.660000,32.650000,B,Bridge North,False,False
2,5,34.660000,32.750000,B,Bridge North,False,False
3,7,34.632343,32.971878,S,Station 1,True,True
4,7,34.639924,32.958790,S,Station 2,True,True
5,7,34.635679,32.963150,S,Station 3,True,True
6,7,34.643544,32.963581,S,Station 4,True,True
7,7,34.639070,32.955014,S,Station 5,True,True
8,8,34.642055,33.015459,S,Station 1,True,True
9,8,34.642646,33.019768,S,Station 2,True,True
10,20,34.742625,32.459387,S,Station 1,True,True
11,20,34.733048,32.471254,S,Station 2,True,True
12,20,34.741748,32.441915,S,Station 3,True,True
13,20,34.740806,32.443189,S,Station 4,True,True
14,20,34.738152,32.482190,S,Station 5,True,True
15,20,34.727949,32.456576,S,Station 6,True,True
16,20,34.760000,32.450000,B,Bridge North,False,False
17,20,34.710000,32.500000,B,Bridge East,False,False
18,21,34.738394,32.533228,S,Station 1,True,True
19,21,34.735383,32.561375,S,Station 2,True,True
20,21,34.719581,32.571546,S,Station 3,True,True
21,21,34.697176,32.578551,S,Station 4,True,True
22,21,34.717958,32.565932,S,Station 5,True,True
23,21,34.760000,32.550000,B,Bridge North,False,False
24,21,34.710000,32.600000,B,Bridge East,False,False
25,21,34.710000,32.500000,B,Bridge West,False,False
26,22,34.689377,32.671267,S,Station 1,True,True
27,22,34.682481,32.628045,S,Station 2,True,True
28,22,34.724266,32.652828,S,Station 3,True,True
29,22,34.689486,32.667249,S,Station 4,True,True
30,22,34.679981,32.620053,S,Station 5,True,True
31,22,34.743875,32.644146,S,Station 6,True,True
32,22,34.760000,32.650000,B,Bridge North,False,False
33,22,34.710000,32.700000,B,Bridge East,False,False
34,22,34.660000,32.650000,B,Bridge South,False,False
35,22,34.710000,32.600000,B,Bridge West,False,False
36,23,34.722524,32.762799,S,Station 1,True,True
37,23,34.727280,32.753488,S,Station 2,True,True
38,23,34.713784,32.720426,S,Station 3,True,True
39,23,34.704365,32.740237,S,Station 4,True,True
40,23,34.682281,32.766514,S,Station 5,True,True
41,23,34.760000,32.750000,B,Bridge North,False,False
42,23,34.710000,32.800000,B,Bridge East,False,False
43,23,34.660000,32.750000,B,Bridge South,False,False
44,23,34.710000,32.700000,B,Bridge West,False,False
45,24,34.728485,32.878922,S,Station 1,True,True
46,24,34.703270,32.847072,S,Station 2,True,True
47,24,34.729789,32.882057,S,Station 3,True,True
48,24,34.740366,32.861582,S,Station 4,True,True
49,24,34.739314,32.830317,S,Station 5,True,True
50,24,34.728307,32.875823,S,Station 6,True,True
51,24,34.760000,32.850000,B,Bridge North,False,False
52,24,34.710000,32.900000,B,Bridge East,False,False
53,24,34.710000,32.800000,B,Bridge West,False,False
54,25,34.725434,32.954735,S,Station 1,True,True
55,25,34.726680,32.982736,S,Station 2,True,True
56,25,34.678232,32.926885,S,Station 3,True,True
57,25,34.725555,32.958678,S,Station 4,True,True
58,25,34.686201,32.967397,S,Station 5,True,True
59,25,34.760000,32.950000,B,Bridge North,False,False
60,25,34.710000,33.000000,B,Bridge East,False,False
61,25,34.710000,32.900000,B,Bridge West,False,False
62,26,34.706416,33.049937,S,Station 1,True,True
63,26,34.680680,33.058873,S,Station 2,True,True
64,26,34.703471,33.077518,S,Station 3,True,True
65,26,34.741864,33.063650,S,Station 4,True,True
66,26,34.700425,33.049347,S,Station 5,True,True
67,26,34.760000,33.050000,B,Bridge North,False,False
68,26,34.710000,33.100000,B,Bridge East,False,False
69,26,34.710000,33.000000,B,Bridge West,False,False
70,27,34.713903,33.156583,S,Station 1,True,True
71,27,34.725753,33.144832,S,Station 2,True,True
72,27,34.736481,33.150234,S,Station 3,True,True
73,27,34.743209,33.124328,S,Station 4,True,True
74,27,34.712492,33.145636,S,Station 5,True,True
75,27,34.704387,33.115093,S,Station 6,True,True
76,27,34.760000,33.150000,B,Bridge North,False,False
77,27,34.710000,33.200000,B,Bridge East,False,False
78,27,34.710000,33.100000,B,Bridge West,False,False
79,28,34.733027,33.280265,S,Station 1,True,True
80,28,34.717470,33.264913,S,Station 2,True,True
81,28,34.720039,33.259688,S,Station 3,True,True
