PointId,ZoneId,Latitude,Longitude,PointType,Name,IsPickupAllowed,IsDropoffAllowed
1,1,34.569901,32.367805,S,Station 1,True,True
2,1,34.626025,32.301676,S,Station 2,True,True
3,1,34.598916,32.329164,S,Station 3,True,True
4,1,34.660000,32.350000,B,Bridge North,False,False
5,1,34.610000,32.400000,B,Bridge East,False,False
6,1,34.560000,32.350000,B,Bridge South,False,False
7,1,34.610000,32.300000,B,Bridge West,False,False
8,2,34.637526,32.486720,S,Station 1,True,True
9,2,34.590852,32.414247,S,Station 2,True,True
10,2,34.660000,32.450000,B,Bridge North,False,False
11,2,34.610000,32.500000,B,Bridge East,False,False
12,2,34.560000,32.450000,B,Bridge South,False,False
13,2,34.610000,32.400000,B,Bridge West,False,False
14,3,34.596947,32.548517,S,Station 1,True,True
15,3,34.630745,32.562690,S,Station 2,True,True
16,3,34.650375,32.584354,S,Station 3,True,True
17,3,34.660000,32.550000,B,Bridge North,False,False
18,3,34.610000,32.600000,B,Bridge East,False,False
19,3,34.560000,32.550000,B,Bridge South,False,False
20,3,34.610000,32.500000,B,Bridge West,False,False
21,4,34.620146,32.607349,S,Station 1,True,True
22,4,34.657241,32.687615,S,Station 2,True,True
23,4,34.660000,32.650000,B,Bridge North,False,False
24,4,34.610000,32.700000,B,Bridge East,False,False
25,4,34.560000,32.650000,B,Bridge South,False,False
26,4,34.610000,32.600000,B,Bridge West,False,False
27,5,34.655716,32.736051,S,Station 1,True,True
28,5,34.617199,32.706539,S,Station 2,True,True
29,5,34.660000,32.750000,B,Bridge North,False,False
30,5,34.610000,32.800000,B,Bridge East,False,False
31,5,34.560000,32.750000,B,Bridge South,False,False
32,5,34.610000,32.700000,B,Bridge West,False,False
33,6,34.648523,32.856698,S,Station 1,True,True
34,6,34.641892,32.839181,S,Station 2,True,True
35,6,34.572980,32.842670,S,Station 3,True,True
36,6,34.660000,32.850000,B,Bridge North,False,False
37,6,34.610000,32.900000,B,Bridge East,False,False
38,6,34.560000,32.850000,B,Bridge South,False,False
39,6,34.610000,32.800000,B,Bridge West,False,False
40,7,34.566074,32.973778,S,Station 1,True,True
41,7,34.608210,32.920668,S,Station 2,True,True
42,7,34.660000,32.950000,B,Bridge North,False,False
43,7,34.610000,33.000000,B,Bridge East,False,False
44,7,34.560000,32.950000,B,Bridge South,False,False
45,7,34.610000,32.900000,B,Bridge West,False,False
46,8,34.642352,33.007035,S,Station 1,True,True
47,8,34.597394,33.002746,S,Station 2,True,True
48,8,34.660000,33.050000,B,Bridge North,False,False
49,8,34.610000,33.100000,B,Bridge East,False,False
50,8,34.560000,33.050000,B,Bridge South,False,False
51,8,34.610000,33.000000,B,Bridge West,False,False
52,9,34.624684,33.115188,S,Station 1,True,True
53,9,34.655357,33.126403,S,Station 2,True,True
54,9,34.627122,33.151785,S,Station 3,True,True
55,9,34.660000,33.150000,B,Bridge North,False,False
56,9,34.610000,33.200000,B,Bridge East,False,False
57,9,34.560000,33.150000,B,Bridge South,False,False
58,9,34.610000,33.100000,B,Bridge West,False,False
59,10,34.615264,33.268332,S,Station 1,True,True
60,10,34.659792,33.223015,S,Station 2,True,True
61,10,34.608833,33.248865,S,Station 3,True,True
62,10,34.660000,33.250000,B,Bridge North,False,False
63,10,34.610000,33.300000,B,Bridge East,False,False
64,10,34.560000,33.250000,B,Bridge South,False,False
65,10,34.610000,33.200000,B,Bridge West,False,False
66,11,34.581024,33.303785,S,Station 1,True,True
67,11,34.571095,33.382107,S,Station 2,True,True
68,11,34.642449,33.315079,S,Station 3,True,True
69,11,34.660000,33.350000,B,Bridge North,False,False
70,11,34.610000,33.400000,B,Bridge East,False,False
71,11,34.560000,33.350000,B,Bridge South,False,False
72,11,34.610000,33.300000,B,Bridge West,False,False
73,12,34.569963,33.454518,S,Station 1,True,True
74,12,34.598763,33.407548,S,Station 2,True,True
75,12,34.660000,33.450000,B,Bridge North,False,False
76,12,34.610000,33.500000,B,Bridge East,False,False
77,12,34.560000,33.450000,B,Bridge South,False,False
78,12,34.610000,33.400000,B,Bridge West,False,False
79,13,34.642294,33.567174,S,Station 1,True,True
80,13,34.655186,33.574542,S,Station 2,True,True
81,13,34.660000,33.550000,B,Bridge North,False,False
82,13,34.610000,33.600000,B,Bridge East,False,False
83,13,34.560000,33.550000,B,Bridge South,False,False
84,13,34.610000,33.500000,B,Bridge West,False,False
85,14,34.648529,33.665278,S,Station 1,True,True
86,14,34.616701,33.654025,S,Station 2,True,True
87,14,34.566650,33.672233,S,Station 3,True,True
88,14,34.660000,33.650000,B,Bridge North,False,False
89,14,34.610000,33.700000,B,Bridge East,False,False
90,14,34.560000,33.650000,B,Bridge South,False,False
